COMMENT,MOOD
"""Nhảy múa"" để ""thể hiện"" cảm xúc, ""tự do"" thể hiện bản thân!",Happy
 Game mới ra. Chơi thử. Xóa,Neutral
"Sao ai cũng ""toxic"" hết trơn zậy nè? 🤮",Worry
 Cảm giác hạnh phúc khó tả,InLove
"""Tiền bạc"" như ""người yêu cũ"", đi không trở lại",Sad
Sao lại như vậy?,Angry
Sao ba mẹ cứ ép tui học giỏi zậy nè? Tui mệt mỏi lắm rồi á!,Sad
 Hãy giữ mãi tình yêu này nhé,InLove
Hóa ra mình đã yêu crush từ lâu rồi! 🥰,Inlove
"Hôm nay ""khoe"" giọng hát trời phú, ai nghe cũng phải ""wow""! 🎤",Happy
"Tui đang ""creating"" một playlist nhạc tình yêu tặng crush",Inlove
"Sao tui cứ ""procrastinate"" hoài vậy?",Sad
 Nhìn ra cửa sổ,Neutral
Sao mình cứ phải so sánh bản thân với những người nổi tiếng trên mạng zậy nè? 🤦‍♀️,Worry
Tui xứng đáng được hạnh phúc,Inlove
"""Vượt qua một thử thách. Thấy mình mạnh mẽ.""",Happy
I'm done!,Angry
Mình cần phải học cách buông bỏ,InLove
(Tui/Mình) Không có khiếu thẩm mỹ,Neutral
" Guốc ai đi lạc ngoài đường, hay là mình lạc đường giữa cuộc đời? 🤷‍♀️",Sad
Mơ một giấc thật đẹp,Neutral
 🤷‍♀️,Neutral
Nhìn ra cửa sổ,Neutral
 Thích nắm tay cậu ấy,InLove
Tui muốn trở thành một người thành công và giàu có 💰,NeutralNeutral
Tui thấy mình như một cái bóng mờ nhạt,Sad
Không phải giả vờ vui vẻ,Neutral
" ""Tui thích cái cách crush nhìn tui, kiểu như cả thế giới chỉ có mỗi mình tui z á...""",InLove
"""Không hối tiếc"" về quá khứ",Sad
"Ảnh/cô ấy là ""comedian"" của đời tui!",InLove
Đồ vô học!,Angry
 Lòng nặng trĩu,Sad
 Không biết trôi về đâu,Neutral
"Đôi khi mình tự hỏi, liệu có ai đó thực sự quan tâm đến mình không?",Sad
Hay vani nhỉ?,Neutral
"Tui ""try hard"" (cố gắng) để làm gì khi biết trước kết quả rồi?",Worry
"Chán nản vì phải đối mặt với những câu hỏi ""deep"" không đúng lúc. 😫",Angry
Sợ hãi khi nghĩ về tương lai,Worry
 Nay bị chỉ trích... Tui tổn thương ghê á!,Worry
Cười muốn xỉu,Happy
 Kết nối internet không ổn định!,Angry
Tâm trạng tốt bất thường,Happy
Mình xinh đẹp! Mình quyến rũ! Mình đáng yêu! (Tự tin lên!) 💖,Inlove
"""Giảng viên"" giảng bài ""khó hiểu"", ""não"" tui ""loading"" chậm quá!",SadSad
" Đỉnh của chóp, xuất sắc!",Happy
" Giáo viên giảng bài khó hiểu, muốn bỏ học luôn!",Angry
Tui mà buồn á? Chắc chắn là do thế giới này không đủ màu hồng cho tui thôi! 😜,Inlove
Tui không biết mình là ai nữa,Sad
Tui muốn được,Worry
"Tui ""unbothered"" trước mọi lời nói xấu! 😌",Happy
Tự dưng muốn ăn pizza,Neutral
(Tui/Mình) Không quan tâm,Neutral
Buổi hẹn hò đầu tiên thật tuyệt vời,Inlove
"""Được sếp"" khen ngợi, ""vui mừng"" khôn xiết!",Happy
"Mấy cái ""trend"" (xu hướng) nhảm nhí làm tui ""confused"" (hoang mang)",Worry
Ước gì có ai đó hiểu và lắng nghe tui,Worry
Niềm tin vào tương lai dần cạn kiệt,Sad
 Nghe nhạc.  Bài cũ,Neutral
Tui muốn được chia sẻ gánh nặng với ai đó,Worry
 Chỉ cần nhìn thấy cậu ấy là đủ rồi,InLove
Tự dưng thấy mình có duyên,Happy
"Tui ""thả tim"" dạo cho đỡ nhớ ổng/bả nè. Ai ""nhận"" hông? 😉",InLove
 WHY?!,Angry
Mình phải làm gì để ổng quay lại?,Inlove
 Mình đang tạo dựng cuộc sống mà mình mơ ước,Happy
Câm nín!,Angry
(Liều lĩnh),Neutral
 Biết vậy…,Angry
"""Đi ngoài đường thấy người ta có đôi có cặp, còn mình thì vẫn FA. Hờn cả thế giới!""",Angry
Mình muốn được sống một cuộc đời mà mình có thể tự hào,Sad
Tui chỉ muốn được bình yên trong tâm hồn,Sad
 Hy vọng mọi chuyện sẽ ổn thôi,InLove
" Mình đã đạt đến level ""hạnh phúc bất khả chiến bại""",Happy
Tui không muốn ai thương hại tui,Sad
 Tôi sẽ luôn cố gắng sống một cuộc sống có ý nghĩa,Angry
 Cần sự giúp đỡ,Worry
 Thờ ơ,Neutral
Tôi sợ rằng mình sẽ mãi mãi cô đơn,Sad
 Trời ơi là trời!,Angry
Đếm ngược đến cuối tuần,Neutral
 Seriously? Không thể tin nổi!,Angry
"""Mình"" thích uống trà sữa trân châu đường đen mỗi khi thèm!",Happy
Tao cần một cái ôm thật chặt ngay lúc này. 🤗,Sad
Tui thấy cuộc sống này bế tắc quá à! Muốn được biến mất ghê! 😔,Worry
Vui như Tết,Happy
Bình luận. Toxic,Neutral
